Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
itcore,Chrome 126.0.0.0,,,14-06-2024 15:10:09,14-06-2024 15:20:13,10m - 3.822s,FAILED
,,,,,,,
Test Cases/ITCORE/it_testcase,Chrome 126.0.0.0,,,14-06-2024 15:14:16,14-06-2024 15:15:27,1m - 11.094s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,14-06-2024 15:14:16,14-06-2024 15:14:17,1.244s,PASSED
"navigateToUrl(""http://www.itcorelite.net/"")",Chrome 126.0.0.0,,,14-06-2024 15:14:17,14-06-2024 15:14:25,7.982s,PASSED
"click(findTestObject(""Object Repository/itcore/Page_CIsco CCNA CCNP CCIE  Online Training _371a1d/span_Services""))",Chrome 126.0.0.0,,,14-06-2024 15:14:25,14-06-2024 15:14:28,2.413s,PASSED
"click(findTestObject(""Object Repository/itcore/Page_Services  CCNA CCNP CCIE Tamil Trainin_e0bba9/span_ITCEMembers Zone""))",Chrome 126.0.0.0,,,14-06-2024 15:14:28,14-06-2024 15:14:30,2.605s,PASSED
"click(findTestObject(""Object Repository/itcore/Page_ITCEMembers  CCNA CCNP CCIE Tamil Trai_d6a8fe/a_Virtual Lab""))",Chrome 126.0.0.0,,,14-06-2024 15:14:30,14-06-2024 15:14:52,21.666s,PASSED
"click(findTestObject(""Object Repository/itcore/Page_ITCEMembers  CCNA CCNP CCIE Tamil Trai_d6a8fe/a_Job Openings""))",Chrome 126.0.0.0,,,14-06-2024 15:14:52,14-06-2024 15:15:27,35.172s,FAILED
,,,,,,,
Test Cases/ITCORE/it_testcase,Chrome 126.0.0.0,,,14-06-2024 15:19:02,14-06-2024 15:20:13,1m - 10.877s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,14-06-2024 15:19:02,14-06-2024 15:19:03,0.968s,PASSED
"navigateToUrl(""http://www.itcorelite.net/"")",Chrome 126.0.0.0,,,14-06-2024 15:19:03,14-06-2024 15:19:10,7.069s,PASSED
"click(findTestObject(""Object Repository/itcore/Page_CIsco CCNA CCNP CCIE  Online Training _371a1d/span_Services""))",Chrome 126.0.0.0,,,14-06-2024 15:19:10,14-06-2024 15:19:14,3.351s,PASSED
"click(findTestObject(""Object Repository/itcore/Page_Services  CCNA CCNP CCIE Tamil Trainin_e0bba9/span_ITCEMembers Zone""))",Chrome 126.0.0.0,,,14-06-2024 15:19:14,14-06-2024 15:19:16,2.750s,PASSED
"click(findTestObject(""Object Repository/itcore/Page_ITCEMembers  CCNA CCNP CCIE Tamil Trai_d6a8fe/a_Virtual Lab""))",Chrome 126.0.0.0,,,14-06-2024 15:19:16,14-06-2024 15:19:38,21.587s,PASSED
"click(findTestObject(""Object Repository/itcore/Page_ITCEMembers  CCNA CCNP CCIE Tamil Trai_d6a8fe/a_Job Openings""))",Chrome 126.0.0.0,,,14-06-2024 15:19:38,14-06-2024 15:20:13,35.144s,FAILED
